customer_id,name,email,phone,region,total_sales
291e6310,Veronica Oconnor,rodriguezjacob@bright.com,(554)421-2513,California,588.66
3129b4de,Frances Thompson,tonya86@yahoo.com,622.048.3878,Texas,372.61
aab44229,Jessica Hill,sullivandenise@yahoo.com,+1-329-127-1568x550,Florida,407.42
b5bbd72e,Kevin Greer,shermanbrett@gmail.com,306.993.5093x116,California,281.22
fd1a1b45,Daniel Perry PhD,gonzalezalexandra@gmail.com,+1-995-662-6020x419,Texas,775.88
7d48b6a4,Bradley Johnson,corey58@aguilar-bailey.com,426-569-6185x3173,New York,842.86
13354f16,Ryan Juarez PhD,hsimpson@hotmail.com,710-002-4867x101,Texas,704.9
8813fb05,Mrs. Katherine Brewer,tiffany34@gray-allen.biz,843-531-5516x373,New York,885.21
2ae19744,Robin Collins,faulknersherry@gmail.com,247-901-3467x23511,California,496.51
aea0a53f,Daryl Powell,jessicaellis@gmail.com,616.092.1071x788,Florida,679.14
85e4e434,Geoffrey Perez,robert25@mckinney-fisher.com,715-774-2846x7475,New York,871.42
8579fbe8,Jared Martinez,ggrant@hotmail.com,098-008-5643,New York,234.55
e346afd9,Robert Brown MD,zcarroll@blake-ochoa.com,(943)425-8827x3212,California,399.25
1247ae71,Dawn Barnes,brian96@meyers.com,872-121-0968,California,131.58
a6c16378,Leslie Howard,preeves@gmail.com,750.556.4818,New York,905.71
39e21409,Adam Ayala,jared00@gmail.com,001-754-123-0855x941,Washington,106.86
72b773b7,Christina Williams,lewisvalerie@schneider-fuller.org,001-279-962-2472,Washington,179.96
fe84b900,Alicia Francis,hfisher@jones-vega.org,001-876-126-8343x22782,Washington,324.9
31934fae,April Mcdonald,marissawright@yahoo.com,001-339-035-7623x11915,California,948.28
743e6a99,Barbara Jones,jacksonbrian@hotmail.com,287-107-2694x345,New York,834.98
46309ca4,Chelsea Luna,dmarshall@yahoo.com,665-454-9165x566,New York,683.6
e9a2a6dc,Bruce Palmer,daniel00@williams.com,001-352-498-8139x832,Texas,527.02
02cd78be,Diane Taylor,denise39@hotmail.com,803-043-6313x69619,Florida,624.24
722fc8d1,Raymond Carey,mperez@johnson-carter.com,662.257.3872x9284,New York,204.15
cfa1c9d8,Nicole Lee,michael92@bell.biz,9522366566,Texas,558.73
ea9cd365,Nicholas Alexander,bakerjerry@hotmail.com,598.851.4880,Texas,684.24
67289d8a,Andrea Fox,meghanhayden@yahoo.com,+1-479-714-4077,New York,829.15
ad0bda5e,Nicole Sullivan,vtownsend@gmail.com,383.847.5966x61742,Florida,633.16
78973fc2,Timothy Flores,adamskayla@hotmail.com,942.276.0549x71765,Washington,260.16
7842d289,Lisa Taylor,aclements@sanchez-graves.org,(607)255-1578x720,California,95.95
5a1c4e1c,Jonathan Mercer,kelly68@stewart-walker.com,001-757-928-6161x3094,Washington,344.96
f6e63b8d,Wendy Lewis,ashlee85@gmail.com,(990)286-2373x905,Texas,582.48
71934d79,Vicki Daniels,hilljames@morgan-walters.org,+1-806-719-5091,Washington,475.6
e0afcdaa,Hector George,wgeorge@yahoo.com,6514886300,Texas,105.34
fb56794b,Barbara Pratt DDS,anne47@hotmail.com,001-020-996-9752x331,Florida,900.5
c13d847a,Melissa Melendez,waynehall@walsh-alexander.com,778-896-1523x28427,Florida,682.23
65998216,Allison Williams DVM,ashley70@thompson.biz,(521)676-0735x0382,California,784.72
0015ae3a,Gary Cisneros,pconner@yahoo.com,(842)761-5969x2003,Florida,947.56
4bda76fb,David Greene,brianna62@roy.biz,+1-119-469-3703x9792,Florida,116.19
6f94f755,Heidi Lara,garciajasmine@gonzalez.net,(294)151-3944,California,586.76
77ca0b2d,Michael Bird,karen73@armstrong.com,320-552-0361,Texas,501.16
081316b1,Kayla Reynolds,jesus30@mcclure-powell.biz,375-194-4423,California,920.59
2d5eee23,Anthony Fox DDS,matthew30@moore.com,(454)482-2823,New York,395.5
ae543c0b,Christopher Underwood,xhill@barnett.com,001-701-100-4534x39039,Washington,218.21
17a886e8,Dillon Callahan DDS,farrelljason@yahoo.com,+1-507-993-1365x9837,Washington,203.75
9bf746aa,Adam Moore,ethan03@glover.com,316-922-3407x90908,Washington,696.05
194e97e9,Lisa Gonzalez,brad48@richards-bowers.net,095-048-1990x92546,Florida,54.8
01c8a2fc,Elizabeth Hammond,devon11@lee.biz,+1-773-701-1999x593,Texas,929.47
